name,path,owner,author,hname,capo
1970,songs/1970.tex,T,Chinaski,1970,1
1_Signální,songs/1_Signální.tex,T,Chinaski,1 Signální,0
Accidentally_In_Love,songs/Accidentally_In_Love.tex,T,Counting Crows,Accidentally In Love,0
Africa,songs/Africa.tex,T,Toto,Africa,2
Amerika,songs/Amerika.tex,T,Lucie,,0
Anděl,songs/Anděl.tex,T,Mirai,Anděl,3
Ani_K_Stáru,songs/Ani_K_Stáru.tex,T,Jaroslav Uhlir,Ani K Stáru,0
Až_Mi_Bude_Pětašedesát,songs/Až_Mi_Bude_Pětašedesát.tex,T,Michal Horák,Až Mi Bude Pětašedesát,0
Bad_Bad_Leroy_Brown,songs/Bad_Bad_Leroy_Brown.tex,T,Jim Croce,Bad Bad Leroy Brown,0
Baroko,songs/Baroko.tex,T,Richard Muller,Baroko,0
Batalion,songs/Batalion.tex,T,Spirituál kvintet,Batalion,0
Bára,songs/Bára.tex,T,Kabát,Bára,0
Behind_Blue_Eyes,songs/Behind_Blue_Eyes.tex,T,Limp Bizkit,Behind Blue Eyes,0
Bláznova_Ukolébavka,songs/Bláznova_Ukolébavka.tex,T,Pavel Dydovič,Bláznova Ukolébavka,0
Blíženci,songs/Blíženci.tex,T,Olympic,Blíženci,0
Boli_Sme_Raz_Milovaní,songs/Boli_Sme_Raz_Milovaní.tex,T,Pavol Habera,Boli Sme Raz Milovaní,0
Boulevard_Of_Broken_Dreams,songs/Boulevard_Of_Broken_Dreams.tex,T,Green Day,Boulevard Of Broken Dreams,3
Budu_Všechno_Co_Si_Budeš_Přát,songs/Budu_Všechno_Co_Si_Budeš_Přát.tex,T,Janek Ledecký,Budu Všechno Co Si Budeš Přát,0
Cant_Help_Falling_In_Love,songs/Cant_Help_Falling_In_Love.tex,T,Elvis Presley,,0
Cesta,songs/Cesta.tex,T,Tomáš Klus,Cesta,0
Chci_Zas_V_Tobě_Spát,songs/Chci_Zas_V_Tobě_Spát.tex,T,Lucie,Chci Zas V Tobě Spát,0
Co_Z_Tebe_Bude,songs/Co_Z_Tebe_Bude.tex,T,Pokáč,Co Z Tebe Bude,3
Černí_andělé,songs/Černí_andělé.tex,T,Lucie,Černí andělé,0
Černý_Brejle,songs/Černý_Brejle.tex,T,Ready Kirken,Černý Brejle,0
Darmoděj,songs/Darmoděj.tex,T,Jaromír Nohavica,Darmoděj,0
Dej_Mi_Víc_Své_Lásky,songs/Dej_Mi_Víc_Své_Lásky.tex,T,Olympic,Dej Mi Víc Své Lásky,0
Demons,songs/Demons.tex,T,Imagine Dragons,Demons,3
Dlouhej_Kouř,songs/Dlouhej_Kouř.tex,T,Chinaski,Dlouhej Kouř,0
Dobrák_Od_Kosti,songs/Dobrák_Od_Kosti.tex,T,Chinaski,Dobrák Od Kosti,0
Dont_Look_Back_In_Anger,songs/Dont_Look_Back_In_Anger.tex,T,Oasis,Dont Look Back In Anger,0
Do_Nebe,songs/Do_Nebe.tex,T,Tomáš Klus,Do Nebe,0
Drive_By,songs/Drive_By.tex,T,Train,Drive By,4
Drobná_Paralela,songs/Drobná_Paralela.tex,T,Chinaski,Drobná Paralela,0
Duše_Z_Gumy,songs/Duše_Z_Gumy.tex,T,Chinaski,Duše Z Gumy,0
Ententýky,songs/Ententýky.tex,T,Chinaski,,0
Fair_Play,songs/Fair_Play.tex,T,Miro Žbirka,Fair Play,0
Flowers,songs/Flowers.tex,T,Miley Cyrus,,0
Get_Lucky,songs/Get_Lucky.tex,T,Daft Punk,Get Lucky,2
Good_Riddance_Time_Of_Your_Life,songs/Good_Riddance_Time_Of_Your_Life.tex,T,Green Day,Good Riddance Time Of Your Life,0
Grónská_písnička,songs/Grónská_písnička.tex,T,Jaromír Nohavica,Grónská písnička,0
Hallelujah,songs/Hallelujah.tex,T,Jeff Buckley,Hallelujah,0
Hero,songs/Hero.tex,T,Enrique Iglesias,Hero,0
Hey_Soul_Sister,songs/Hey_Soul_Sister.tex,T,Train,Hey Soul Sister,4
Hey_There_Delilah,songs/Hey_There_Delilah.tex,T,Plain White T's,Hey There Delilah,0
Hlídač_Krav,songs/Hlídač_Krav.tex,T,Jaromír Nohavica,Hlídač Krav,0
Hlupák_Váhá,songs/Hlupák_Váhá.tex,T,Katapult,Hlupák Váhá,0
Holky_To_Objektivně_Lehčí_Maj,songs/Holky_To_Objektivně_Lehčí_Maj.tex,T,Pokáč,Holky To Objektivně Lehčí Maj,3
Hollywood_Hills,songs/Hollywood_Hills.tex,T,Sunrise Avenue,Hollywood Hills,0
Honey_Honey,songs/Honey_Honey.tex,T,ABBA,Honey Honey,0
Hotel_California,songs/Hotel_California.tex,T,Eagles,Hotel California,2
Hrobar,songs/Hrobar.tex,T,Premier,Hrobar,0
Hruška,songs/Hruška.tex,T,Čechomor,Hruška,0
Im_A_Believer,songs/Im_A_Believer.tex,T,The Monkees,Im A Believer,0
Im_Yours,songs/Im_Yours.tex,T,Jason Mraz,Im Yours,0
Jarní_Tání,songs/Jarní_Tání.tex,T,Brontosauři,Jarní Tání,0
Jasná_Zpráva,songs/Jasná_Zpráva.tex,T,Olympic,Jasná Zpráva,0
Jdou_Po_Mně_Jdou,songs/Jdou_Po_Mně_Jdou.tex,T,Jaromír Nohavica,Jdou Po Mně Jdou,0
Jožin_Z_Bažin,songs/Jožin_Z_Bažin.tex,T,Ivan Mládek,Jožin Z Bažin,0
Každý_Ráno,songs/Každý_Ráno.tex,T,Chinaski,Každý Ráno,1
Kdo_Vchází_Do_Tvých_Snů_Má_Lásko,songs/Kdo_Vchází_Do_Tvých_Snů_Má_Lásko.tex,T,Václav Neckář,Kdo Vchází Do Tvých Snů Má Lásko,0
Když_Nemůžeš_Tak_Přidej,songs/Když_Nemůžeš_Tak_Přidej.tex,T,Mirai,Když Nemůžeš Tak Přidej,3
Klára,songs/Klára.tex,T,Chinaski,,0
Krátke_Lásky,songs/Krátke_Lásky.tex,T,TEAM,Krátke Lásky,0
Kráľovna_Bielych_Tenisiek,songs/Kráľovna_Bielych_Tenisiek.tex,T,Elán,Kráľovna Bielych Tenisiek,0
Křídla_Z_Mýdla,songs/Křídla_Z_Mýdla.tex,T,Kryštof,Křídla Z Mýdla,0
Kupte_Si_Hřebeny,songs/Kupte_Si_Hřebeny.tex,T,Jaromír Nohavica,Kupte Si Hřebeny,0
Kutil,songs/Kutil.tex,T,Chinaski,Kutil,0
Lachtani,songs/Lachtani.tex,T,Jaromír Nohavica,Lachtani,0
Láska_Na_Vsi,songs/Láska_Na_Vsi.tex,T,Pokáč,Láska Na Vsi,0
Lásko_Má_Já_Stůňu,songs/Lásko_Má_Já_Stůňu.tex,T,Helena Vondráčková,,0
Leaving_On_A_Jet_Plane,songs/Leaving_On_A_Jet_Plane.tex,T,John Denver,Leaving On A Jet Plane,0
Let_Her_Go,songs/Let_Her_Go.tex,T,Passenger,Let Her Go,7
Let_It_Be,songs/Let_It_Be.tex,T,The Beatles,Let It Be,0
Let_It_Go,songs/Let_It_Go.tex,T,Misc Cartoons,Let It Go,1
Living_Next_Door_To_Alice,songs/Living_Next_Door_To_Alice.tex,T,Smokie,Living Next Door To Alice,0
Magdálena,songs/Magdálena.tex,T,Jelen (Czech Republic),Magdalena,0
Malá_Dáma,songs/Malá_Dáma.tex,T,Kabát,Malá Dáma,0
Malování,songs/Malování.tex,T,Divokej Bill,Malování,0
Mamma_Mia,songs/Mamma_Mia.tex,T,ABBA,Mamma Mia,0
Marie,songs/Marie.tex,T,Tomáš Klus,Marie,0
Matfyzák_Na_Discu,songs/Matfyzák_Na_Discu.tex,T,Pokáč,Matfyzák Na Discu,3
Mám_Doma_Kočku,songs/Mám_Doma_Kočku.tex,T,Pokáč,Mám Doma Kočku,1
Mám_Jizvu_Na_Rtu,songs/Mám_Jizvu_Na_Rtu.tex,T,Jaromír Nohavica,Mám Jizvu Na Rtu,0
Mikymauz,songs/Mikymauz.tex,T,Jaromír Nohavica,Mikymauz,0
Milenci_V_Texaskách,songs/Milenci_V_Texaskách.tex,T,Josef Zíma,Milenci V Texaskách,0
Million_Reasons,songs/Million_Reasons.tex,T,Lady Gaga,Million Reasons,0
Mimorealita,songs/Mimorealita.tex,T,Tomáš Klus,Mimorealita,0
Minulost,songs/Minulost.tex,T,Jaromír Nohavica,Minulost,0
Mrs_Robinson,songs/Mrs_Robinson.tex,T,Simon  Garfunkel,Mrs Robinson,2
Můj_Svět,songs/Můj_Svět.tex,T,Chinaski,Můj Svět,0
Naděje,songs/Naděje.tex,T,Mezitím,Naděje,0
Nagasaki_Hirošima,songs/Nagasaki_Hirošima.tex,T,Karel Plíhal,Nagasaki Hirošima,0
Nechte_Zvony_Znít,songs/Nechte_Zvony_Znít.tex,T,Marta Kubišová,Nechte Zvony Znít,0
Netušim,songs/Netušim.tex,T,Michal Horák,Netušim,0
Neviem_Byť_Sám,songs/Neviem_Byť_Sám.tex,T,Elán,Neviem Byť Sám,2
Okno_Mé_Lásky,songs/Okno_Mé_Lásky.tex,T,Olympic,Okno Mé Lásky,0
On_Top_Of_The_World,songs/On_Top_Of_The_World.tex,T,Imagine Dragons,On Top Of The World,0
Osmý_Den,songs/Osmý_Den.tex,T,Olympic,Osmý Den,0
Panic,songs/Panic.tex,T,Lucie,Panic,0
Pažitka,songs/Pažitka.tex,T,Xavier Baumaxa,Pažitka,0
Perfect,songs/Perfect.tex,T,Ed Sheeran,Perfect,1
Piano_Man,songs/Piano_Man.tex,T,Billy Joel,Piano Man,0
Pocity,songs/Pocity.tex,T,Tomáš Klus,Pocity,0
Pohoda,songs/Pohoda.tex,T,Kabát,Pohoda,0
Pompeii,songs/Pompeii.tex,T,Bastille,Pompeii,2
Proklínám,songs/Proklínám.tex,T,Janek Ledecký,Proklínám,0
Proměny,songs/Proměny.tex,T,Čechomor,Proměny,0
Radioactive,songs/Radioactive.tex,T,Imagine Dragons,,0
Ráda_Se_Miluje,songs/Ráda_Se_Miluje.tex,T,Karel Plíhal,Ráda Se Miluje,0
Ring-O-Ding,songs/Ring-O-Ding.tex,T,Marta Kubišová,Ring-O-Ding,0
Riptide,songs/Riptide.tex,T,Vance Joy,Riptide,1
Sametová,songs/Sametová.tex,T,Žlutý Pes,,0
Sáro,songs/Sáro.tex,T,Traband,Sáro,0
Sbírka_Zvadlejch_Růží,songs/Sbírka_Zvadlejch_Růží.tex,T,Wanastowi vjecy,Sbírka Zvadlejch Růží,0
Sbohem_Galánečko,songs/Sbohem_Galánečko.tex,T,Vlasta Redl,Sbohem Galánečko,0
Sen,songs/Sen.tex,T,Lucie,,0
Slzy_Tvý_Mámy,songs/Slzy_Tvý_Mámy.tex,T,Olympic,Slzy Tvý Mámy,0
